   0,  8.303e-01, 0.497396
   1,  1.701e+00, 0.497396
   2,  2.722e+00, 0.497396
   3,  1.978e+00, 0.497396
   4,  1.068e+00, 0.52474
   5,  4.854e-01, 0.767361
   6,  8.334e-01, 0.625434
   7,  4.963e-01, 0.738715
   8,  4.472e-01, 0.800781
   9,  4.847e-01, 0.787326
  10,  4.155e-01, 0.818576
  11,  4.209e-01, 0.816406
  12,  4.800e-01, 0.799913
  13,  5.404e-01, 0.710503
  14,  4.277e-01, 0.824219
  15,  4.764e-01, 0.766493
  16,  3.741e-01, 0.84375
  17,  4.666e-01, 0.792969
  18,  6.471e-01, 0.723958
  19,  5.471e-01, 0.758681
  20,  3.406e-01, 0.865017
  21,  4.534e-01, 0.795139
  22,  3.913e-01, 0.823785
  23,  3.673e-01, 0.851128
  24,  3.607e-01, 0.84809
  25,  3.579e-01, 0.849392
  26,  4.800e-01, 0.793403
  27,  3.866e-01, 0.838976
  28,  3.771e-01, 0.858507
  29,  3.807e-01, 0.845052
  30,  3.629e-01, 0.862847
  31,  4.091e-01, 0.841146
